原句,分词结果,去掉停用词结果,情感得分
没有更好，只有最好，吴京的电影就是保障，但我没想到的是这部流浪地球这么的贴近现实，也许我们将来要面临的不是太阳膨胀，也许是其他什么的，但我们将要面对的生活也许就是地下城之类的，没有用到什么超能力，都是科技可以实现或者即将实现的力量，给人一种这也许也是我们的一种未来的可能性,没有/更好/，/只有/最好/，/吴京/的/电影/就是/保障/，/但/我/没想到/的/是/这部/流浪/地球/这么/的/贴近/现实/，/也许/我们/将来/要/面临/的/不是/太阳/膨胀/，/也许/是/其他/什么/的/，/但/我们/将要/面对/的/生活/也许/就是/地下城/之类/的/，/没有/用到/什么/超能力/，/都/是/科技/可以/实现/或者/即将/实现/的/力量/，/给/人/一种/这/也许/也/是/我们/的/一种/未来/的/可能性,更好/最好/吴京/电影/保障/没想到/这部/流浪/地球/贴近/现实/也许/将来/面临/太阳/膨胀/也许/面对/生活/也许/地下城/用到/超能力/科技/实现/实现/力量/人/一种/也许/一种/未来/可能性/,11.3843297731262
超级超级好看！！这次的片子打破了中国科幻薄弱的观点，奈斯！,超级/超级/好看/！/！/这次/的/片子/打破/了/中国/科幻/薄弱/的/观点/，/奈斯/！,超级/超级/好看/这次/片子/打破/中国/科幻/薄弱/观点/奈斯/,3.1624333825183495
不用多说了好看中国崛起,不用/多/说/了/好看/中国崛起,不用/说/好看/中国崛起/,0.8349986269229999
2012年有一部电影叫做《2012》，在电影的片尾，洪水退去，方舟停留在了珠峰之巅，美国人??用这样一种方式告诉世人，拯救地球?最后要靠中国人??。2019年中国人用一部电影告诉世界，我们是这样拯救地球的，这就是中国梦，和平崛起的伟大力量。俄罗斯??是好哥们儿，日本??韩国??是小弟，英国??“雇佣兵”，法国??“神父”，德国??就听到一句“再见”，美国??别吵吵，好好看着！把这部科幻电影当作一部政治大戏看也挺过瘾，估计作者刘慈欣（大刘）也没想到。我仿佛看到了（星球大战）（第五元素）的一点影子，然而本质上完全不同，整整高出一个维度。,2012/年/有/一部/电影/叫做/《/2012/》/，/在/电影/的/片尾/，/洪水/退去/，/方舟/停留/在/了/珠峰/之巅/，/美国/人/?/?/用/这样/一种/方式/告诉/世人/，/拯救/地球/?/最后/要/靠/中国/人/?/?/。/2019/年/中国/人用/一部/电影/告诉/世界/，/我们/是/这样/拯救/地球/的/，/这/就是/中国/梦/，/和平/崛起/的/伟大/力量/。/俄罗斯/?/?/是/好/哥们儿/，/日本/?/?/韩国/?/?/是/小弟/，/英国/?/?/“/雇佣兵/”/，/法国/?/?/“/神父/”/，/德国/?/?/就/听到/一句/“/再见/”/，/美国/?/?/别/吵吵/，/好好/看着/！/把/这部/科幻电影/当作/一部/政治/大戏/看/也/挺/过瘾/，/估计/作者/刘慈欣/（/大/刘/）/也/没想到/。/我/仿佛/看到/了/（/星球大战/）/（/第五/元素/）/的/一点/影子/，/然而/本质/上/完全/不同/，/整整/高出/一个/维度/。,2012/年/一部/电影/叫做/2012/电影/片尾/洪水/退去/方舟/停留/珠峰/之巅/美国/人/一种/方式/告诉/世人/拯救/地球/最后/中国/人/2019/年/中国/人用/一部/电影/告诉/世界/拯救/地球/中国/梦/和平/崛起/伟大/力量/俄罗斯/好/哥们儿/日本/韩国/小弟/英国/雇佣兵/法国/神父/德国/听到/一句/再见/美国/吵吵/好好/看着/这部/科幻电影/当作/一部/政治/大戏/挺/过瘾/估计/作者/刘慈欣/刘/没想到/仿佛/看到/星球大战/第五/元素/一点/影子/本质/完全/整整/高出/一个/维度/,112.1195092899183
赞 超震撼 不错不错,赞/ /超/震撼/ /不错/不错,赞/ /超/震撼/ /不错/不错/,0.7492178472800002
称得上是目前中国最高级的特效了，有大情怀，大无畏的牺牲精神，看哭了好几次,称得上/是/目前/中国/最高级/的/特效/了/，/有大/情怀/，/大无畏/的/牺牲/精神/，/看/哭/了/好/几次,称得上/目前/中国/最高级/特效/有大/情怀/大无畏/牺牲/精神/哭/好/几次/,1.026367500552
期待了很久，，,期待/了/很/久/，/，,期待/久/,1.872037029735
科幻之最啊，感觉有种好莱坞的既视感，中国情怀加之高科技特效，感觉非常棒，值得一看,科幻/之/最/啊/，/感觉/有种/好莱坞/的/既/视感/，/中国/情怀/加之/高科技/特效/，/感觉/非常/棒/，/值得一看,科幻/最/感觉/有种/好莱坞/视感/中国/情怀/高科技/特效/感觉/棒/值得一看/,11.090616762997
给满了怕骄傲,给/满/了/怕/骄傲,骄傲/,2.26736094733
《流浪地球》真是超出预期，光特效制作就值得骄傲骄傲。几处为了缓解紧张的逗趣情节，比如突如其来的昨晚睡了姑娘，可能是为了出口给老外写的吧。,《/流浪/地球/》/真是/超出/预期/，/光/特效/制作/就/值得/骄傲/骄傲/。/几处/为了/缓解/紧张/的/逗趣/情节/，/比如/突如其来/的/昨晚/睡/了/姑娘/，/可能/是/为了/出口/给/老外/写/的/吧/。,流浪/地球/真是/超出/预期/特效/制作/值得/骄傲/骄傲/几处/缓解/紧张/逗趣/情节/突如其来/昨晚/睡/姑娘/出口/老外/写/,7.2920621947563005
超级震撼科幻，部分情节戳中泪点，整体感觉在看好莱坞大片，赞赞赞,超级/震撼/科幻/，/部分/情节/戳/中泪点/，/整体/感觉/在/看/好莱坞/大片/，/赞赞赞,超级/震撼/科幻/部分/情节/戳/中泪点/整体/感觉/好莱坞/大片/赞赞赞/,6.351069570569701
场面壮大，值得一看,场面/壮大/，/值得一看,场面/壮大/值得一看/,2.386230102443
很喜欢，传播爱国友善正能量,很/喜欢/，/传播/爱国/友善/正/能量,喜欢/传播/爱国/友善/正/能量/,5.778549465844001
人类！万岁！,人类/！/万岁/！,人类/万岁/,2.321388809329
过誉，故事都讲不清楚，两小孩演技稚嫩，强加春节元素，特效的确可以吹，唯一看点是吴京。,过/誉/，/故事/都/讲/不/清楚/，/两/小孩/演技/稚嫩/，/强加/春节/元素/，/特效/的确/可以/吹/，/唯一/看点/是/吴京/。,誉/故事/讲/清楚/两/小孩/演技/稚嫩/强加/春节/元素/特效/吹/唯一/看点/吴京/,6.368579672252
评分对得起影片！虽然有点小贵，但是影片值得这个价位！大力推荐！,评分/对得起/影片/！/虽然/有点/小贵/，/但是/影片/值得/这个/价位/！/大力/推荐/！,评分/对得起/影片/有点/小贵/影片/值得/价位/大力/推荐/,14.808371263735
没有小说黑暗的内容反而拍出更好的效果,没有/小说/黑暗/的/内容/反而/拍/出/更好/的/效果,小说/黑暗/内容/拍/更好/效果/,1.559577641621
特效和制作应该标志着中国电影真正进入了新纪元，和欧美没什么差距了。但是不得不说文戏写得太糟糕。刘启的演员演技也很勉强。看完心里有点难受，就像一个本来可以90分的作品，最终也只有70分。给90分总感觉违心。另外作为科幻电影在商业片的逻辑下，其bug勉强可以忽略。还是挺燃挺爆。最近让我特别难受的一部就是白蛇，另一部就是这部流浪地球了。特效和制作的完美抵不过编剧的硬伤。希望有一天能出现两者都能完美的中国制造。总体来说这部片子还是值得一看。,特效/和/制作/应该/标志/着/中国/电影/真正/进入/了/新纪元/，/和/欧美/没什么/差距/了/。/但是/不得不/说/文戏/写/得/太/糟糕/。/刘启/的/演员/演技/也/很/勉强/。/看/完/心里/有点/难受/，/就/像/一个/本来/可以/90/分/的/作品/，/最终/也/只有/70/分/。/给/90/分/总/感觉/违心/。/另外/作为/科幻电影/在/商业片/的/逻辑/下/，/其/bug/勉强/可以/忽略/。/还是/挺燃/挺/爆/。/最近/让/我/特别/难受/的/一部/就是/白蛇/，/另/一部/就是/这部/流浪/地球/了/。/特效/和/制作/的/完美/抵不过/编剧/的/硬伤/。/希望/有/一天/能/出现/两者/都/能/完美/的/中国/制造/。/总体/来说/这部/片子/还是/值得一看/。,特效/制作/应该/标志/中国/电影/真正/进入/新纪元/欧美/没什么/差距/说/文戏/写/太/糟糕/刘启/演员/演技/勉强/完/心里/有点/难受/一个/本来/90/分/作品/最终/70/分/90/分/总/感觉/违心/科幻电影/商业片/逻辑/下/bug/勉强/忽略/挺燃/挺/爆/最近/特别/难受/一部/白蛇/一部/这部/流浪/地球/特效/制作/完美/抵不过/编剧/硬伤/希望/一天/出现/完美/中国/制造/总体/来说/这部/片子/值得一看/,7.1758683044978255
超级赞，中国电影起范儿了?,超级/赞/，/中国/电影/起范儿/了/?,超级/赞/中国/电影/起范儿/,4.139797761287
中国科幻电影程碑似的一部，虽然比好莱坞的特效还差点距离，但是这个距离是肉眼可见的了，结合中国人特有的故乡情怀，和科技大片融合毫无违和感。值得一看！,中国/科幻电影/程碑/似的/一部/，/虽然/比/好莱坞/的/特效/还/差点/距离/，/但是/这个/距离/是/肉眼/可见/的/了/，/结合/中国/人/特有/的/故乡/情怀/，/和/科技/大片/融合/毫无/违和感/。/值得一看/！,中国/科幻电影/程碑/一部/好莱坞/特效/差点/距离/距离/肉眼/结合/中国/人/特有/故乡/情怀/科技/大片/融合/违和感/值得一看/,11.801498326771
话不多说。满分推荐！只有在真正灾难来临之际，人与人之间的尔虞我诈，勾心斗角才会渐渐消失！,话/不/多/说/。/满分/推荐/！/只有/在/真正/灾难/来临/之际/，/人/与/人/之间/的/尔虞我诈/，/勾心斗角/才/会/渐渐/消失/！,话/说/满分/推荐/真正/灾难/来临/之际/人/人/之间/尔虞我诈/勾心斗角/渐渐/消失/,3.6748056006620002
品质相当棒的国产科幻，描述了人与人在极端环境下的冲突。刘慈欣一如既往的关注人物心里的自私阴暗面，以及经历了撞击的开悟与升华。,品质/相当/棒/的/国产/科幻/，/描述/了/人/与/人/在/极端/环境/下/的/冲突/。/刘慈欣/一如既往/的/关注/人物/心里/的/自私/阴暗面/，/以及/经历/了/撞击/的/开悟/与/升华/。,品质/相当/棒/国产/科幻/描述/人/人/环境/下/冲突/刘慈欣/一如既往/关注/人物/心里/自私/阴暗面/经历/撞击/开悟/升华/,10.686345472298358
"5分为特效，－4分是情节、对白、漏洞,－1分是跟我一起看的人半小时就走了","5/分为/特效/，/－/4/分是/情节/、/对白/、/漏洞/,/－/1/分是/跟/我/一起/看/的/人/半小时/就/走/了",分为/特效/－/分是/情节/对白/漏洞/－/分是/一起/人/半小时/走/,5.079547751222101
中国现在竟然能拍出这样的科幻片了， 以后这就是标杆，希望以后中国科幻片看齐，致敬大刘！,中国/现在/竟然/能/拍出/这样/的/科幻片/了/，/ /以后/这/就是/标杆/，/希望/以后/中国/科幻片/看齐/，/致敬/大/刘/！,中国/现在/拍出/科幻片/ /以后/标杆/希望/以后/中国/科幻片/看齐/致敬/刘/,3.8502663096200003
很好看了吧哈哈,很/好看/了/吧/哈哈,好看/,1.26216032158
挺好看的，很震撼！,挺/好看/的/，/很/震撼/！,挺/好看/震撼/,3.24423120367
很好看很刺激，惊心动魄,很/好看/很/刺激/，/惊心动魄,好看/刺激/惊心动魄/,1.202905088333
满怀期待地去看了，结果实在是不值9.4的高分。从场景来说，3D意义不大，主要是为了让人物的脸更加立体。(以下涉及剧透)最后点燃木星的场景完全没有展现出来，人类文明延续的伟大也没体现出来，没拍出想展现的经过努力获得新的希望拯救地球的感动。再说剧情，没看小说，只从电影看，实在是当不起科幻电影的名头，只能说是一个用了很多特效的不太成熟的灾难片。科幻首先要有科技，这部电影除了太空舱机器人挺高级，其他地方没看出什么科学元素，或者说电影为了突出众人团结力量的伟大，忽略了科学事实等因素，将个人情感至于人类利益之上，这点从主角是个傻子却苟到最后可以看出。众人团结的场景挺感人的，6分为支持国产电影而打，期待进步,满怀/期待/地去/看/了/，/结果/实在/是/不值/9.4/的/高分/。/从/场景/来说/，/3D/意义/不/大/，/主要/是/为了/让/人物/的/脸/更加/立体/。/(/以下/涉及/剧透/)/最后/点燃/木星/的/场景/完全/没有/展现/出来/，/人类文明/延续/的/伟大/也/没/体现/出来/，/没拍/出想/展现/的/经过努力/获得/新/的/希望/拯救/地球/的/感动/。/再说/剧情/，/没/看/小说/，/只/从/电影/看/，/实在/是/当不起/科幻电影/的/名头/，/只能/说/是/一个/用/了/很多/特效/的/不/太/成熟/的/灾难片/。/科幻/首先/要/有/科技/，/这部/电影/除了/太空舱/机器人/挺/高级/，/其他/地方/没/看出/什么/科学/元素/，/或者说/电影/为了/突出/众人/团结/力量/的/伟大/，/忽略/了/科学/事实/等/因素/，/将/个人/情感/至于/人类/利益/之上/，/这点/从/主角/是/个/傻子/却/苟到/最后/可以/看出/。/众人/团结/的/场景/挺/感人/的/，/6/分为/支持/国产电影/而/打/，/期待/进步,满怀/期待/地去/实在/不值/9.4/高分/场景/来说/3D/意义/主要/人物/脸/立体/以下/涉及/剧透/最后/点燃/木星/场景/完全/展现/人类文明/延续/伟大/体现/没拍/出想/展现/经过努力/获得/新/希望/拯救/地球/感动/剧情/小说/只/电影/实在/当不起/科幻电影/名头/只能/说/一个/特效/太/成熟/灾难片/科幻/科技/这部/电影/太空舱/机器人/挺/高级/地方/看出/科学/元素/或者说/电影/突出/众人/团结/力量/伟大/忽略/科学/事实/因素/情感/人类/利益/之上/这点/主角/傻子/却/苟到/最后/看出/众人/团结/场景/挺/感人/分为/支持/国产电影/期待/进步/,79938.68658557958
电影很好看，但是灾难面前，没有提现党的力量。,电影/很/好看/，/但是/灾难/面前/，/没有/提现/党/的/力量/。,电影/好看/灾难/面前/提现/党/力量/,3.247437168119
很精彩，创意比较新,很/精彩/，/创意/比较/新,精彩/创意/比较/新/,7.275529757220999
小女孩话太多，故意加戏吧,小女孩/话/太/多/，/故意/加戏/吧,小女孩/话/太/加戏/,-1.03394502051
节奏很紧凑，特效非常好，666，值得一看,节奏/很/紧凑/，/特效/非常/好/，/666/，/值得一看,节奏/紧凑/特效/好/666/值得一看/,1.74024434910375
特别推荐，特别走心～,特别/推荐/，/特别/走心/～,特别/推荐/特别/走心/,1.946059228
本来对国产科幻片不感冒的，结果。。。。太棒了,本来/对/国产/科幻片/不/感冒/的/，/结果/。/。/。/。/太棒了,本来/国产/科幻片/感冒/太棒了/,-3.7679250411300003
真的好看 国产科幻片挺震撼的 吴京投入木星那块落泪了 值得二刷,真的/好看/ /国产/科幻片/挺/震撼/的/ /吴京/投入/木星/那/块/落泪/了/ /值得/二刷,真的/好看/ /国产/科幻片/挺/震撼/ /吴京/投入/木星/块/落泪/ /值得/二刷/,7.252095430557199
终于看到中国人也能拯救地球了,终于/看到/中国/人/也/能/拯救/地球/了,终于/看到/中国/人/拯救/地球/,1.3770902618131
还好吧，虽然没有期待的原著剧情(地球叛军)，但电影和小说终是有着本质区别的，这也是正常的，剧情有点点水，不过，特效场景还是很震撼人心的，让人可以意识到，中国的特效、中国的科幻，也是不低于其他西方国家的。,还好/吧/，/虽然/没有/期待/的/原著/剧情/(/地球/叛军/)/，/但/电影/和/小说/终/是/有着/本质区别/的/，/这/也/是/正常/的/，/剧情/有/点点/水/，/不过/，/特效/场景/还是/很/震撼人心/的/，/让/人/可以/意识/到/，/中国/的/特效/、/中国/的/科幻/，/也/是/不/低于/其他/西方/国家/的/。,还好/期待/原著/剧情/地球/叛军/电影/小说/终/有着/本质区别/正常/剧情/点点/水/特效/场景/震撼人心/人/意识/中国/特效/中国/科幻/低于/西方/国家/,4.3667207693356005
给满分，首先给拍摄的角度和后期剪辑能力点赞，第二个细节的切入给满分，每个人都有存在的意义和特色，视觉的冲击感很强,给/满分/，/首先/给/拍摄/的/角度/和/后期/剪辑/能力/点赞/，/第二个/细节/的/切入/给/满分/，/每个/人/都/有/存在/的/意义/和/特色/，/视觉/的/冲击/感/很/强,满分/拍摄/角度/后期/剪辑/能力/点赞/第二个/细节/切入/满分/每个/人/存在/意义/特色/视觉/冲击/感/强/,13.347410275382998
中国的科幻电影有进步,中国/的/科幻电影/有/进步,中国/科幻电影/进步/,2.7857603098420003
一般般，故事硬伤太多，牵强，,一般般/，/故事/硬伤/太/多/，/牵强/，,一般般/故事/硬伤/太/牵强/,-0.40502478796675023
电影非常不错.,电影/非常/不错/.,电影/不错/,3.204099454495
拍的效果很好 给人感觉很震撼 很喜欢,拍/的/效果/很/好/ /给/人/感觉/很/震撼/ /很/喜欢,拍/效果/好/ /人/感觉/震撼/ /喜欢/,8.37752562911725
还可以。和原著有区别,还/可以/。/和/原著/有/区别,原著/区别/,-0.22824132707000003
除了说教部分让人有些出戏，整体感觉流畅，期待中国科幻电影快快成长。,除了/说教/部分/让/人/有些/出戏/，/整体/感觉/流畅/，/期待/中国/科幻电影/快快/成长/。,说教/部分/人/出戏/整体/感觉/流畅/期待/中国/科幻电影/快快/成长/,9.220658443175
很震撼，很感动！人物的心理深刻表现出来，值得去看！,很/震撼/，/很/感动/！/人物/的/心理/深刻/表现/出来/，/值得/去/看/！,震撼/感动/人物/心理/深刻/表现/值得/,5.964261936817
没啥好说的了，远超预期，还会去二刷,没/啥/好/说/的/了/，/远超/预期/，/还会/去/二刷,好/说/远超/预期/还会/二刷/,0.43418341556800005
再也不怕看中国科幻片了！不管从电影到我工业风，物理学支撑，演员的演技，统统在线。骄傲！,再也/不怕/看/中国/科幻片/了/！/不管/从/电影/到/我/工业/风/，/物理学/支撑/，/演员/的/演技/，/统统/在线/。/骄傲/！,再也/中国/科幻片/电影/工业/风/物理学/支撑/演员/演技/统统/在线/骄傲/,8.1904199380364
还不错 挺好看的,还/不错/ /挺/好看/的,不错/ /挺/好看/,4.165943355956
震撼及感动，到目前为止最好的中国科幻片，东方的智慧、情感、美学都得到体现。加油，更好，期待!,震撼/及/感动/，/到/目前为止/最好/的/中国/科幻片/，/东方/的/智慧/、/情感/、/美学/都/得到/体现/。/加油/，/更好/，/期待/!,震撼/感动/目前为止/最好/中国/科幻片/东方/智慧/情感/美学/得到/体现/加油/更好/期待/,13.530916488359
不知道怎么说挺失望的这么高的评分咋回事啊，我看的想睡觉,不/知道/怎么/说/挺/失望/的/这么/高/的/评分/咋/回事/啊/，/我/看/的/想/睡觉,知道/说/挺/失望/高/评分/回事/想/睡觉/,-0.41433722155920005
国产科幻加油！,国产/科幻/加油/！,国产/科幻/加油/,2.926120005905
超出我的想象了 看的有点想哭 一是因为剧情 二是中国科幻终于有希望了！,超出/我/的/想象/了/ /看/的/有点/想/哭/ /一/是因为/剧情/ /二是/中国/科幻/终于/有/希望/了/！,超出/想象/ /有点/想/哭/ /是因为/剧情/ /二是/中国/科幻/终于/希望/,-3.5854878105018
好看，珍惜现在的幸福生活,好看/，/珍惜/现在/的/幸福生活,好看/珍惜/现在/幸福生活/,2.141902286957
非常好看，这就是中国科幻电影的开始,非常/好看/，/这/就是/中国/科幻电影/的/开始,好看/中国/科幻电影/,1.9475423780119998
赞！科幻电影中国也可以做得很好！,赞/！/科幻电影/中国/也/可以/做/得/很/好/！,赞/科幻电影/中国/做/好/,3.3663539399444002
像极了老美的大片，特效顶尖，剧情垃圾，显得很没文化的样子。,像/极了/老/美的/大片/，/特效/顶尖/，/剧情/垃圾/，/显得/很/没/文化/的/样子/。,美的/大片/特效/顶尖/剧情/垃圾/显得/文化/样子/,6.839266743605598
有点好莱坞大片的感觉，我们自己的孩子为什么不支持？,有点/好莱坞/大片/的/感觉/，/我们/自己/的/孩子/为什么/不/支持/？,有点/好莱坞/大片/感觉/孩子/支持/,4.8831638648243
刘慈欣的小说将科技和人文思想高度结合，深入挖掘了科学中的美学因素。他作品中深广的忧郁感和民族主义思想也是他深受读者喜爱的重要原因。里面藏满了宇宙文明史中科学与技术创造出来的超越常人想象的神迹。进入刘慈欣的世界，你立刻会感受到如粒子风暴般扑面而来的澎湃的激情——对科学，对技术的激情。过去无数岁月中早已成为人类精神支柱的太阳一下成了死亡和恐怖的象征。比起坐以待毙，人类选择了希望。,刘慈欣/的/小说/将/科技/和/人文/思想/高度/结合/，/深入/挖掘/了/科学/中/的/美学/因素/。/他/作品/中/深广/的/忧郁/感/和/民族主义/思想/也/是/他/深受/读者/喜爱/的/重要/原因/。/里面/藏满/了/宇宙/文明史/中/科学/与/技术/创造/出来/的/超越/常人/想象/的/神迹/。/进入/刘慈欣/的/世界/，/你/立刻/会/感受/到/如/粒子/风暴/般/扑面而来/的/澎湃/的/激情/—/—/对/科学/，/对/技术/的/激情/。/过去/无数/岁月/中/早已/成为/人类/精神支柱/的/太阳/一下/成/了/死亡/和/恐怖/的/象征/。/比起/坐以待毙/，/人类/选择/了/希望/。,刘慈欣/小说/科技/人文/思想/高度/结合/深入/挖掘/科学/中/美学/因素/作品/中/深广/忧郁/感/民族主义/思想/深受/读者/喜爱/重要/原因/里面/藏满/宇宙/文明史/中/科学/技术/创造/超越/常人/想象/神迹/进入/刘慈欣/世界/感受/粒子/风暴/般/扑面而来/澎湃/激情/科学/技术/激情/过去/无数/岁月/中/早已/成为/人类/精神支柱/太阳/一下/成/死亡/恐怖/象征/坐以待毙/人类/选择/希望/,32.55123007919705
作为中国科幻这个分数差不多了,作为/中国/科幻/这个/分数/差不多/了,中国/科幻/分数/,-0.361380298679
震撼！！！称得上为中国灾难科幻片的里程碑！画面制作恢宏磅礴，科幻视角逼真震撼，但我觉得《流浪地球》最成功的点是：亲情和团结。不管是过去还是现在，中国同胞始终把亲人放在第一位，在地球快毁灭时，不是享受当下，而是“抱抱家人，说句再见。”逆时营救，不是单枪匹马，而是齐心协力，同归于尽；出门在外，不是“早日归来”，而是“安全出行第一步”。明明知道生存的几率微乎其微，但在末日来临之际，“我们选择希望”；当末日来临之际，我们并非是放弃地球，而是与地球，一起流浪。,震撼/！/！/！/称得上/为/中国/灾难/科幻片/的/里程碑/！/画面/制作/恢宏/磅礴/，/科幻/视角/逼真/震撼/，/但/我/觉得/《/流浪/地球/》/最/成功/的/点/是/：/亲情/和/团结/。/不管/是/过去/还是/现在/，/中国/同胞/始终/把/亲人/放在/第一位/，/在/地球/快/毁灭/时/，/不是/享受/当下/，/而是/“/抱抱/家人/，/说句/再见/。/”/逆时/营救/，/不是/单枪匹马/，/而是/齐心协力/，/同归于尽/；/出门在外/，/不是/“/早日/归来/”/，/而是/“/安全/出行/第一步/”/。/明明/知道/生存/的/几率/微乎其微/，/但/在/末日来临/之际/，/“/我们/选择/希望/”/；/当/末日来临/之际/，/我们/并非/是/放弃/地球/，/而是/与/地球/，/一起/流浪/。,震撼/称得上/中国/灾难/科幻片/里程碑/画面/制作/恢宏/磅礴/科幻/视角/逼真/震撼/觉得/流浪/地球/最/成功/点/亲情/团结/过去/现在/中国/同胞/始终/亲人/放在/第一位/地球/毁灭/时/享受/抱抱/家人/说句/再见/逆时/营救/单枪匹马/齐心协力/同归于尽/出门在外/早日/归来/安全/出行/第一步/明明/知道/生存/几率/微乎其微/末日来临/之际/选择/希望/末日来临/之际/放弃/地球/地球/一起/流浪/,-30.610821851948593
非常好看，演员演得都很好,非常/好看/，/演员/演得/都/很/好,好看/演员/演得/好/,2.54580228826
效果一般，为中国精神加油！,效果/一般/，/为/中国/精神/加油/！,效果/中国/精神/加油/,5.160217263444
特别完美的中国科幻片,特别/完美/的/中国/科幻片,特别/完美/中国/科幻片/,3.375131694572
可以看一看吧,可以/看一看/吧,看一看/,0
中国的第一部科幻片，比外国的有人情味。特效也很震撼。很好，很精彩！,中国/的/第一部/科幻片/，/比/外国/的/有/人情味/。/特效/也/很/震撼/。/很/好/，/很/精彩/！,中国/第一部/科幻片/外国/人情味/特效/震撼/好/精彩/,9.162706739213
感觉很震撼，希望中国的电影越来越好！,感觉/很/震撼/，/希望/中国/的/电影/越来越/好/！,感觉/震撼/希望/中国/电影/越来越/好/,3.481954634031
还行   有点堵心,还/行/ / / /有点/堵心,行/ / / /有点/堵心/,-0.515138196019
